release_id,track_name,artist,genre,release_type,is_feature,editorial_tier,release_dow,editorial_day,wk1_streams,wk1_saves,d1_streams,d1_share,wk2_streams,wk2_complete,decay_wk2,wk3_streams,wk3_days,wk3_complete,decay_wk3,save_rate
c688c0c1-ce26-44b9-a3fd-1411352daa0c,When I'm Hot,Griz,dubstep,album_track,True,1,Fri,1,225215,36009,68609,0.30463779055569123,75951,True,0.33723775059387695,23435,3,False,,15.988721887973714
a0825241-32a2-4574-8f6e-339fcbe9df0c,beautiful colors,big gigantic,dubstep,single,True,2,Fri,1,127667,11636,33116,0.25939357860684437,78046,True,0.6113247746089436,30485,3,False,,9.114336516092647
d81bd447-4dd9-47a6-ae1a-25e25a7833b8,Ashiko,O'Flynn,house,lead_single,False,1,Fri,1,47407,2419,12280,0.25903347606893495,39448,True,0.8321134009745397,25325,4,False,,5.102621975657604
9cd4d4f1-ff5c-42ca-9ddc-bedd621b0c3e,Body Step,Pretty Girl,house,focus_track,False,1,Wed,3,34039,2534,2699,0.07929140103998354,47744,True,1.4026263991304093,23329,4,False,,7.444402009459737
ebe7f034-258c-45e2-b4e1-da3c30962ad5,Everybody High - Chesster Remix,Caleb Jackson,house,alternate_version,True,0,Fri,1,3039,436,191,0.06284962158604804,2474,True,0.8140835801250411,424,3,False,,14.346824613359658
e8c58708-8cbb-41bb-97c8-2af77b48a284,Fara,O'Flynn,house,focus_track,False,1,Fri,1,124086,7556,34981,0.28190932095482163,58739,True,0.4733733056106249,34435,4,False,,6.08932514546363
fc29b252-3e12-4161-81fb-cb0a61efdd2d,For The Girls,Hayden James,house,single,True,1,Fri,1,88782,6896,17734,0.19974769660516772,79713,True,0.8978509157261607,42666,3,False,,7.767340226622514
6f456ebf-5c83-4397-b00b-2a24d4da77f2,Foreva,Caleb Jackson,house,single,False,1,Fri,1,10308,2926,1634,0.15851765618936747,5748,True,0.5576251455180442,1870,3,False,,28.385719829258825
002c00c4-803d-4ce6-a3fd-9f35e2e2ba80,Freaks,Joshwa,house,album_track,False,1,Fri,1,71982,5852,17991,0.24993748437109278,40323,True,0.5601817120946904,18830,4,False,,8.129810230335362
6d761fa4-d938-4a94-84d8-73953432b604,Last Forever (Club Mix),Bob Moses,house,lead_single,False,1,Wed,3,92691,5276,4956,0.053467974236980936,62329,True,0.672438532327842,30272,3,False,,5.692030509974
b78f3cf3-aded-4651-b6ee-398984d18c04,Lets Get Ill,Joshwa,house,single,False,1,Fri,1,99007,7625,23711,0.23948811700182815,67956,True,0.6863757108083267,24098,3,False,,7.70147565323664
0562db03-e2be-4398-9a92-45b5184c1dd9,Light Down - Kasango Remix,Kasango,house,alternate_version,True,1,Fri,1,3415,380,811,0.23748169838945826,2813,True,0.8237188872620791,1683,3,False,,11.127379209370424
19feb499-caaa-436c-9010-ecdc4ef57d0a,Love Is The Dance,Âme,house,focus_track,True,1,Fri,1,105276,7107,33511,0.31831566548881035,50022,True,0.47515103157414795,17193,3,False,,6.750826399179301
78b3e4d8-58eb-4848-a207-f00119ae2ac3,Need your love,Cedric Gervais,house,single,True,1,Fri,1,41164,1651,7564,0.18375279370323583,17910,True,0.43508891264211447,5508,3,False,,4.010786123797493
a169f11f-18fc-4cef-bd90-1357ea679867,OBSESSED,BORGORE,house,focus_track,False,1,Fri,1,47365,4611,13548,0.2860339913438193,25911,True,0.5470495091312151,6698,3,False,,9.73503641929695
b47d846d-5690-4718-b51e-c8203bb55828,One I Want,Hayden James,house,single,True,1,Fri,1,88421,3417,21783,0.24635550378303797,52765,True,0.596747379016297,19884,3,False,,3.864466585992016
b02bf3e7-5d2d-4f87-988c-f871ff664f70,STOMP,Cedric Gervais,house,single,True,1,Fri,1,32561,2272,7604,0.2335309112128006,25806,True,0.7925432265593808,8456,4,False,,6.977672675900617
442224b9-5178-45dc-bd78-7106fd6e3dc2,Satisfy,Pretty Girl,house,album_track,False,0,Wed,3,6592,721,1768,0.2682038834951456,10416,True,1.5800970873786409,2946,3,False,,10.9375
1ab2927f-c9bf-404b-b5a0-65e0fef90553,The Other Side,Level Up,house,single,False,0,Tue,4,59488,9677,3130,0.052615653577192036,68382,True,1.1495091447014525,24631,3,False,,16.26714631522324
eb7df52a-16fc-4668-8afb-ee132a9ed07e,Work Your Body,Joshwa,house,single,False,1,Thu,2,116036,7080,25533,0.2200437795167017,82145,True,0.7079268502878417,45142,4,False,,6.101554689923817
88620604-3fed-44e0-915c-ffb2ce584aac,World is Mine,Kasbo,house,single,True,2,Thu,2,507176,43105,54287,0.10703779358644731,364867,True,0.719409041437292,179359,4,False,,8.499022035743016
14af625a-751e-417f-9a75-01f70f8b11ba,Your loving,Duke Dumot,house,album_track,False,1,Fri,1,569707,26282,132219,0.23208245642058112,302601,True,0.5311519781220874,123675,3,False,,4.613248564613038
cc49328f-6d0c-4445-85ff-ce848650d680,Ankaa,CloZee,melodic-bass,single,True,1,Fri,1,149552,15533,41649,0.27849176206269394,55555,True,0.371476142077672,20468,3,False,,10.386353910345566
f9ced8aa-e3c2-4289-aa4e-de9d50b84c4c,Crossroads City,Gramatik,melodic-bass,single,True,1,Fri,1,43480,2496,16838,0.3872585096596136,13617,True,0.3131784728610856,4802,3,False,,5.740570377184913
acad0151-eeb9-4105-a3d8-eb20a323653e,Freak No More,AC Slater,melodic-bass,single,False,0,Fri,1,64150,5470,16119,0.2512704598597038,38355,True,0.5978955572876071,14413,3,False,,8.52689010132502
500292f3-3a9b-481d-8c44-9ed9d642d791,Hustle,Zen Selekta,melodic-bass,single,False,0,Fri,1,12922,2480,3683,0.2850177991023061,5350,True,0.41402259712118866,2085,4,False,,19.1920755301037
9760bc2d-7cd0-4352-934e-fb775efa681a,KOOLAID MAN,LSDREAM,melodic-bass,single,False,1,Fri,1,74971,10942,17886,0.23857224793586854,48128,True,0.6419548892238333,19654,3,False,,14.594976724333408
b34ab02f-88b1-42eb-a8f1-54faa6358a46,Pull Me Closer,LSDREAM,melodic-bass,single,True,1,Fri,1,160631,15911,42001,0.2614750577410338,80382,True,0.5004139923177967,30165,3,False,,9.905310930019736
d8145143-cffd-4249-8095-4973f906c4f8,Shifting The Lens,Steller,melodic-bass,single,False,0,Fri,1,30241,3320,5303,0.17535795773949275,18212,True,0.6022287622763798,7099,4,False,,10.978472934096095
d819dfc2-2d0e-490c-a4f7-576b3ea542b0,Steppin,Boogie T,melodic-bass,single,False,0,Fri,1,55828,7075,10745,0.19246614601991832,46074,True,0.8252848033244967,19817,3,False,,12.672852332163073
