bin,n,characterize,median_log_resid,mean_log_resid,median_ratio,iqr_ratio
<100k,3,False,-1.6073395335688456,-1.4136289704079754,0.20042011640058444,0.25109373103803245
100k-500k,13,True,0.09394081715321612,-0.0699760975854412,1.0363157848565305,0.6203131323845562
500k-2M,18,True,0.19713978116893216,0.07169380972177525,1.2181601336853067,1.1074666936184778
2M-5M,20,True,-0.32185936262659975,-0.3115590532515644,0.7710055986724016,0.6488642141989374
5M+,4,False,-1.6593382461643804,-1.7966081159876013,0.19162549253151046,0.3328906211793723
2M+ pooled,24,True,-0.4341739162801357,-0.5590672303742372,0.7134287250427722,0.7574130658324087
