release_id,track_name,artist,artist_n,genre,release_type,editorial_tier,is_feature,monthly_listeners,wk1_streams,locked_forecast_streams,fresh_predicted_wk1,fresh_predicted_wk1_rounded,locked_ratio,fresh_ratio,locked_log_error,fresh_log_error,artist_offset,artist_offset_shrunk,loo_offset,loo_offset_shrunk,n_other,log_error_loo,log_error_shrunk,abs_log_error,abs_log_error_loo,abs_log_error_shrunk,is_wrong_ml_remix
acad0151-eeb9-4105-a3d8-eb20a323653e,Freak No More,AC Slater,1,melodic-bass,single,0,False,537000.0,64150,68865,53741.0627459755,53741,0.9315327089232557,1.193686851769674,-0.07092397530764959,0.17704671237248848,0.17704671237248848,0.029507785395414748,0.0,0.0,0,0.17704671237248848,0.17704671237248848,0.17704671237248848,0.17704671237248848,0.17704671237248848,False
9152aade-80de-4330-aca1-272ed1dca802,Psychedelic Symphony,Big Gigantic,2,dubstep,single,0,False,876000.0,78512,84907,61728.91351558442,61729,0.924682299457053,1.2718837175091122,-0.07830506051205162,0.24049904368655226,-0.14371887619379403,-0.041062536055369726,-0.5279367960741403,-0.08798946601235673,1,0.7684358397606926,0.32848850969890897,0.24049904368655226,0.7684358397606926,0.32848850969890897,False
a0825241-32a2-4574-8f6e-339fcbe9df0c,beautiful colors,big gigantic,2,dubstep,single,2,True,877000.0,127667,311825,216450.5484116909,216451,0.4094187444880943,0.5898206354144976,-0.8930168215365877,-0.5279367960741403,-0.14371887619379403,-0.041062536055369726,0.24049904368655226,0.04008317394775871,1,-0.7684358397606926,-0.5680199700218991,0.5279367960741403,0.7684358397606926,0.5680199700218991,False
59d045b2-c9ed-45bb-ae34-9b3c2a0cd90f,Higher Ground,Bob Moses,4,downtempo,album_track,2,False,2000000.0,64121,239080,243965.5225421067,243966,0.2681989292287101,0.26282812149791857,-1.31602630057836,-1.3362549908746337,-0.5038698120967662,-0.22394213870967386,-0.22640808583747704,-0.08490303218905389,3,-1.1098469050371567,-1.25135195868558,1.3362549908746337,1.1098469050371567,1.25135195868558,False
6d761fa4-d938-4a94-84d8-73953432b604,Last Forever (Club Mix),Bob Moses,4,house,lead_single,1,False,2000000.0,92691,170000,147880.55452212636,147881,0.5452411764705882,0.6267964053795273,-0.6065270565703776,-0.4671335033930283,-0.5038698120967662,-0.22394213870967386,-0.5161152483313455,-0.19354321812425457,3,0.048981744938317195,-0.2735902852687737,0.4671335033930283,0.048981744938317195,0.2735902852687737,False
c49119e6-b37b-434d-a6c0-040fef4f8b59,On My Mind,Bob Moses,4,downtempo,lead_single,1,True,2000000.0,242039,315513,144159.9273050146,144160,0.7671284542950687,1.6789617234468506,-0.26510101537270775,0.5181755806031728,-0.5038698120967662,-0.22394213870967386,-0.8445516096634126,-0.3167068536237797,3,1.3627271902665854,0.8348824342269525,0.5181755806031728,1.3627271902665854,0.8348824342269525,False
fa462427-e169-4f27-8642-fa43949bbc2c,leave like this,bob moses,4,downtempo,lead_single,2,False,2000000.0,135101,239080,280420.1408529962,280420,0.5650870001673081,0.4817806580834134,-0.5707755770927939,-0.7302663347225755,-0.5038698120967662,-0.22394213870967386,-0.42840430455482964,-0.16065161420806112,3,-0.3018620301677459,-0.5696147205145143,0.7302663347225755,0.3018620301677459,0.5696147205145143,False
8ab72135-362c-450a-8881-3348ce4401ad,Lotis Eater,Boogie T,3,dubstep,single,0,False,980000.0,69925,89082,63721.39941817988,63721,0.7849509440739992,1.0973550587159613,-0.24213405477789027,0.0929027922945577,-0.024044211374691826,-0.009016579265509434,-0.08251771320931658,-0.02357648948837617,2,0.17542050550387428,0.11647928178293386,0.0929027922945577,0.17542050550387428,0.11647928178293386,False
5d01b98b-fcd5-4847-b4e3-dbc34504d61b,Marathon,Boogie T,3,dubstep,single,0,False,298000.0,31482,53526,45486.53702811827,45487,0.5881627620221949,0.692116878023466,-0.5307515632270716,-0.3680004387484361,-0.024044211374691826,-0.009016579265509434,0.1479339023121803,0.04226682923205151,2,-0.5159343410606163,-0.41026726798048757,0.3680004387484361,0.5159343410606163,0.41026726798048757,False
d819dfc2-2d0e-490c-a4f7-576b3ea542b0,Steppin,Boogie T,3,melodic-bass,single,0,False,300000.0,55828,53679,45572.776119676455,45573,1.0400342778367704,1.2250296065658322,0.03925367206856334,0.2029650123298029,-0.024044211374691826,-0.009016579265509434,-0.13754882322693918,-0.03929966377912548,2,0.3405138355567421,0.24226467610892838,0.2029650123298029,0.3405138355567421,0.24226467610892838,False
a169f11f-18fc-4cef-bd90-1357ea679867,OBSESSED,BORGORE,1,house,focus_track,1,False,630000.0,47365,106810,113019.34749431074,113019,0.4434509877352308,0.41908753722352093,-0.8131679957741063,-0.8696754614927374,-0.8696754614927374,-0.14494591024878958,0.0,0.0,0,-0.8696754614927374,-0.8696754614927374,0.8696754614927374,0.8696754614927374,0.8696754614927374,False
ebe7f034-258c-45e2-b4e1-da3c30962ad5,Everybody High - Chesster Remix,Caleb Jackson,2,house,alternate_version,0,True,52000.0,3039,22179,22178.181874596983,22178,0.13702150683078587,0.13702656138287367,-1.9876173813084168,-1.9875804932389527,-1.7974600134038992,-0.5135600038296855,-1.6073395335688456,-0.2678899222614743,1,-0.38024095967010707,-1.7196905709774783,1.9875804932389527,0.38024095967010707,1.7196905709774783,False
6f456ebf-5c83-4397-b00b-2a24d4da77f2,Foreva,Caleb Jackson,2,house,single,1,False,48000.0,10308,34462,51431.96294426432,51432,0.29911206546340896,0.20042011640058444,-1.2069369749307892,-1.6073395335688456,-1.7974600134038992,-0.5135600038296855,-1.9875804932389527,-0.33126341553982547,1,0.38024095967010707,-1.27607611802902,1.6073395335688456,0.38024095967010707,1.27607611802902,False
78b3e4d8-58eb-4848-a207-f00119ae2ac3,Need your love,Cedric Gervais,2,house,single,1,True,5500000.0,41164,486416,191977.81357425032,191978,0.08462715042268347,0.214420610557059,-2.469500136873934,-1.5398157230762441,-1.6593382461643809,-0.47409664176125166,-1.7788607692525173,-0.29647679487541956,1,0.2390450461762732,-1.2433389282008247,1.5398157230762441,0.2390450461762732,1.2433389282008247,False
b02bf3e7-5d2d-4f87-988c-f871ff664f70,STOMP,Cedric Gervais,2,house,single,1,True,5590000.0,32561,489806,192862.2150799658,192862,0.06647734000808483,0.16883037450596192,-2.7108941411475236,-1.7788607692525173,-1.6593382461643809,-0.47409664176125166,-1.5398157230762441,-0.2566359538460407,1,-0.2390450461762732,-1.5222248154064766,1.7788607692525173,0.2390450461762732,1.5222248154064766,False
cc49328f-6d0c-4445-85ff-ce848650d680,Ankaa,CloZee,1,melodic-bass,single,1,True,500000.0,149552,174339,97355.01753567293,97355,0.8578229770734029,1.5361509225264223,-0.15335752120843144,0.4292798867517315,0.4292798867517315,0.07154664779195526,0.0,0.0,0,0.4292798867517315,0.4292798867517315,0.4292798867517315,0.4292798867517315,0.4292798867517315,False
03cdf258-6b2e-42c9-8250-4ad3041506f1,Bass Cannon (Flux's Version) - Crankdat Remix,Crankdat,2,dubstep,alternate_version,1,True,1202000.0,226684,102339,102339.18764415318,102339,2.215030438053919,2.2150263766819225,0.7952661451877465,0.7952643116347397,0.7432266877959377,0.21235048222741076,0.6911890639571356,0.11519817732618927,1,0.10407524767760401,0.6800661343085503,0.7952643116347397,0.10407524767760401,0.6800661343085503,True
7452a9ac-7a07-43ca-a2f5-6a180bc6238e,Movement,Crankdat,2,dubstep,single,2,False,1070000.0,468885,182939,234902.01549729283,234902,2.563067470577624,1.9960875985136184,0.9412047718803982,0.6911890639571356,0.7432266877959377,0.21235048222741076,0.7952643116347397,0.13254405193912328,1,-0.10407524767760401,0.5586450120180124,0.6911890639571356,0.10407524767760401,0.5586450120180124,False
14af625a-751e-417f-9a75-01f70f8b11ba,Your loving,Duke Dumot,1,house,album_track,1,False,4100000.0,569707,231126,157655.86201050304,157656,2.4649195676816973,3.6136112716319175,0.9021591772185584,1.2847076245785192,1.2847076245785192,0.21411793742975319,0.0,0.0,0,1.2847076245785192,1.2847076245785192,1.2847076245785192,1.2847076245785192,1.2847076245785192,False
2e74db2b-efb6-4170-b002-35a50e2ebff3,Certified - sumthin sumthin Remix,Eazy Baked,2,dubstep,alternate_version,0,True,104000.0,26228,26988,26987.89726662587,26988,0.9718393360011857,0.971843035449613,-0.02856478036380601,-0.028560973724941843,0.4526052640743168,0.12931578973551908,0.9337715018735754,0.1556285836455959,1,-0.9623324755985172,-0.18418955737053774,0.028560973724941843,0.9623324755985172,0.18418955737053774,False
55c97458-59cb-48ec-b2bf-2e55b5c5a9d3,Fresh Baked Bread,Eazy Baked,2,dubstep,single,0,True,101000.0,83040,33689,32640.40432881018,32640,2.4648995220992016,2.5440861321287134,0.9021510448379859,0.9337715018735754,0.4526052640743168,0.12931578973551908,-0.028560973724941843,-0.004760162287490307,1,0.9623324755985172,0.9385316641610657,0.9337715018735754,0.9623324755985172,0.9385316641610657,False
5262a673-1e75-434a-a410-64153311fc64,Is it over Now?,Elderbrook,1,downtempo,single,2,False,8640000.0,515951,447164,424385.04620073905,424385,1.1538294674884382,1.2157614991833365,0.14308638202608445,0.1953706287668655,0.1953706287668655,0.03256177146114425,0.0,0.0,0,0.1953706287668655,0.1953706287668655,0.1953706287668655,0.1953706287668655,0.1953706287668655,False
f9ced8aa-e3c2-4289-aa4e-de9d50b84c4c,Crossroads City,Gramatik,2,melodic-bass,single,1,True,814000.0,43480,214764,111761.65593810422,111762,0.20245478758078636,0.38904219551006003,-1.597238688570263,-0.9440674694980992,-0.9005130883440433,-0.2572894538125838,-0.8569587071899875,-0.14282645119833123,1,-0.08710876230811171,-0.8012410182997679,0.9440674694980992,0.08710876230811171,0.8012410182997679,False
e1640e4a-2059-4629-914b-c2bbb585d2db,The Montauk,gramatik,2,dubstep,single,1,True,825000.0,47618,216002,112187.27220621622,112187,0.22045166248460663,0.42445100111241957,-1.512076825883847,-0.8569587071899875,-0.9005130883440433,-0.2572894538125838,-0.9440674694980992,-0.1573445782496832,1,0.08710876230811171,-0.6996141289403043,0.8569587071899875,0.08710876230811171,0.6996141289403043,False
014cb496-a6b7-4808-b802-9b2e2ae58197,Its Called Freefall (Griz Remix),Griz,3,dubstep,alternate_version,0,True,1127000.0,419766,154458,52993.2479914747,52993,2.7176708231363866,7.921122329915123,0.9997751984373696,2.069532904109275,0.9933588027972707,0.37250955104897654,0.4552717521412686,0.13007764346893388,2,1.6142611519680066,1.9394552606403412,2.069532904109275,1.6142611519680066,1.9394552606403412,True
6b964a04-af53-4c4d-86b1-7347d698a705,Rump Shaker,Griz,3,dubstep,focus_track,2,True,1900000.0,392498,434090,285588.3669427846,285588,0.9041857679283098,1.374348697048413,-0.10072044420534987,0.31797994402527163,0.9933588027972707,0.37250955104897654,1.3310482321832704,0.3802994949095058,2,-1.0130682881579989,-0.06231955088423419,0.31797994402527163,1.0130682881579989,0.06231955088423419,False
