release_id,track_name,artist,genre,release_type,editorial_tier,is_feature,monthly_listeners,ml_band,roster_n,multi_artist,wk1_streams,locked_forecast_streams,ratio
8988c2a1-11fb-4d6c-abbd-7822e3189a3c,Hold On,Rhye,downtempo,lead_single,2,False,2690000.0,2M+,1,False,246709,271409,0.9089934379478941
9152aade-80de-4330-aca1-272ed1dca802,Psychedelic Symphony,Big Gigantic,dubstep,single,0,False,876000.0,500k-2M,1,False,78512,84907,0.924682299457053
acad0151-eeb9-4105-a3d8-eb20a323653e,Freak No More,AC Slater,melodic-bass,single,0,False,537000.0,500k-2M,1,False,64150,68865,0.9315327089232557
1ab2927f-c9bf-404b-b5a0-65e0fef90553,The Other Side,Level Up,house,single,0,False,430000.0,100k-500k,1,False,59488,62619,0.9499992015203054
2e74db2b-efb6-4170-b002-35a50e2ebff3,Certified - sumthin sumthin Remix,Eazy Baked,dubstep,alternate_version,0,True,104000.0,100k-500k,2,True,26228,26988,0.9718393360011857
5ec3f0bc-0cd3-4dcb-b9cd-5433b27b134d,Close Your Mouth,Rhye,downtempo,lead_single,1,False,2730000.0,2M+,1,False,195298,194210,1.0056021832037485
db228801-1892-4dc7-8bc2-d440f8b4498d,Fatal,RHYE,downtempo,focus_track,1,False,2700000.0,2M+,1,False,200290,199093,1.0060122656246075
b34ab02f-88b1-42eb-a8f1-54faa6358a46,Pull Me Closer,LSDREAM,melodic-bass,single,1,True,403000.0,100k-500k,1,False,160631,158970,1.0104485122979179
d819dfc2-2d0e-490c-a4f7-576b3ea542b0,Steppin,Boogie T,melodic-bass,single,0,False,300000.0,100k-500k,1,False,55828,53679,1.0400342778367704
5262a673-1e75-434a-a410-64153311fc64,Is it over Now?,Elderbrook,downtempo,single,2,False,8640000.0,2M+,1,False,515951,447164,1.1538294674884382
d8f0f831-841f-4743-8ddb-4a413ab68512,Telekinesis,Zingara,dubstep,single,0,False,303000.0,100k-500k,1,False,65122,53908,1.2080210729390815
1825a25b-0767-45ee-8b92-031a2129802d,Eyes Cut Deeper,Subtronics,dubstep,single,2,True,3630000.0,2M+,1,False,744126,572644,1.2994565559055888
e3573939-bfd3-4f1e-8358-614c6d55f590,Fall Back To Nothing,Subtronics,dubstep,single,2,True,2920000.0,2M+,1,False,435526,304287,1.4313000555396713
88620604-3fed-44e0-915c-ffb2ce584aac,World is Mine,Kasbo,house,single,2,True,995000.0,500k-2M,1,False,507176,329131,1.5409548173827443
e8c58708-8cbb-41bb-97c8-2af77b48a284,Fara,O'Flynn,house,focus_track,1,False,254000.0,100k-500k,1,False,124086,72411,1.7136346687657953
03cdf258-6b2e-42c9-8250-4ad3041506f1,Bass Cannon (Flux's Version) - Crankdat Remix,Crankdat,dubstep,alternate_version,1,True,1202000.0,500k-2M,2,True,226684,102339,2.215030438053919
55c97458-59cb-48ec-b2bf-2e55b5c5a9d3,Fresh Baked Bread,Eazy Baked,dubstep,single,0,True,101000.0,100k-500k,2,True,83040,33689,2.4648995220992016
14af625a-751e-417f-9a75-01f70f8b11ba,Your loving,Duke Dumot,house,album_track,1,False,4100000.0,2M+,1,False,569707,231126,2.4649195676816973
7452a9ac-7a07-43ca-a2f5-6a180bc6238e,Movement,Crankdat,dubstep,single,2,False,1070000.0,500k-2M,1,False,468885,182939,2.563067470577624
014cb496-a6b7-4808-b802-9b2e2ae58197,Its Called Freefall (Griz Remix),Griz,dubstep,alternate_version,0,True,1127000.0,500k-2M,2,True,419766,154458,2.7176708231363866
