release_id,track_name,artist_name,genre,release_type,is_feature,editorial_tier,wk1_streams,frozen_ml,is_multi_artist,roster_n,roster_roles,A_ml,A_pred,A_ratio,A_log_resid,A_cooks_dropped,A_cooks_d0,A_cooks_d0_dropped,B_ml,B_pred,B_ratio,B_log_resid,B_cooks_dropped,B_cooks_d0,B_cooks_d0_dropped,C_ml,C_pred,C_ratio,C_log_resid,C_cooks_dropped,C_cooks_d0,C_cooks_d0_dropped,D_ml,D_pred,D_ratio,D_log_resid,D_cooks_dropped,D_cooks_d0,D_cooks_d0_dropped,E_ml,E_pred,E_ratio,E_log_resid,E_cooks_dropped,E_cooks_d0,E_cooks_d0_dropped,F_ml,F_pred,F_ratio,F_log_resid,F_cooks_dropped,F_cooks_d0,F_cooks_d0_dropped,G_ml,G_pred,G_ratio,G_log_resid,G_cooks_dropped,G_cooks_d0,G_cooks_d0_dropped
0562db03-e2be-4398-9a92-45b5184c1dd9,Light Down - Kasango Remix,Kasango,house,alternate_version,True,1,3415,6200000.0,True,2,primary:Kasango|original:Meloko,6200000.0,145411.66219934614,0.02348504891800457,-3.7922132710788468,True,0.31275100784904547,True,270000.0,74277.76350467687,0.04597607465368792,-3.1415095377426674,True,0.16035141246037168,True,6200000.0,139295.5190842419,0.02451622293704011,-3.749242214387861,True,0.27678737863684166,True,6470000.0,120460.31857232045,0.02834958466384717,-3.5936021067056156,True,0.2740772092705556,True,6267500.0,136058.22520000508,0.02509954833660341,-3.7257274220841907,True,0.29976563463222566,True,6335000.0,137884.51076062088,0.024767103869474706,-3.7390609577301337,True,0.2894689754568172,True,1293831.5191708675,129806.35350345435,0.026308419486640318,-3.6997416621761285,True,0.13639206454258004,True
e3573939-bfd3-4f1e-8358-614c6d55f590,Fall Back To Nothing,Subtronics,dubstep,single,True,2,435526,2920000.0,False,1,primary:Subtronics,2920000.0,289006.43513369316,1.506976824922696,0.4101055412399113,False,0.010227336014102917,False,2920000.0,319373.9009104848,1.3636868847403745,0.31019197642715746,False,0.011358295567007013,False,2920000.0,293291.92717230954,1.4849573399411287,0.39538604452965487,False,0.010367446984676816,False,2920000.0,279285.3409383538,1.5594302176286903,0.44432050943339085,False,0.010681184034326479,False,2920000.0,293301.82046029426,1.484907251228464,0.39535231321892894,False,0.010401822679294131,False,2920000.0,292906.2139110748,1.4869128045614766,0.3967020272660964,False,0.01052257136373462,False,2920000.0000000023,336966.1717122388,1.2924917590004523,0.25657195136499666,False,0.009705473404794343,False
ebe7f034-258c-45e2-b4e1-da3c30962ad5,Everybody High - Chesster Remix,Caleb Jackson,house,alternate_version,True,0,3039,52000.0,True,2,primary:Caleb Jackson|remixer:Chesster,52000.0,29404.665906622682,0.10335094469873027,-2.3104468466449326,True,0.1807936864889859,True,52000.0,22971.30792886086,0.1322954709157783,-2.084592845606121,True,0.14167159423114903,True,314000.0,38533.790505029254,0.07886584631749019,-2.580829012402754,True,0.14351272676634536,True,366000.0,36807.725148923484,0.08256418965595547,-2.524638439219382,True,0.14369605448022332,True,130500.0,34368.22231045536,0.08842470735169469,-2.4664258479815526,True,0.15406004539109636,True,209000.0,36064.73007652646,0.08426515306094032,-2.514608862152391,True,0.14652020254908577,True,127781.06275970634,36917.67712895188,0.08231828859071771,-2.5590373811048526,True,0.1459463438337346,True
06559c79-4f6b-4652-82fe-105f069045ab,Valley Of Violence - Borgore Remix,Zomboy,big-room,alternate_version,False,1,63833,540000.0,True,2,primary:Zomboy|remixer:Borgore,540000.0,93556.94689127282,0.6822903282017476,-0.42312200506838593,False,0.0004026835658734306,False,540000.0,84791.72124122654,0.7528211370824701,-0.3458030168709616,False,0.0001582364648229002,False,635000.0,101829.53712773832,0.6268613390624155,-0.5078519071474084,False,0.0005635464030380336,False,1175000.0,113019.48166983118,0.5647964320565385,-0.6017491174881169,False,0.001567484758942843,False,698750.0,103982.59068615078,0.6138816082460021,-0.5287751843937532,False,0.0006507940582533635,False,857500.0,106687.47835940881,0.5983176374734378,-0.5544554942271276,False,0.0009304891529489125,False,585576.638878294,92310.75086659458,0.691501254195733,-0.4307657178649773,False,0.00028026922565294195,False
2e74db2b-efb6-4170-b002-35a50e2ebff3,Certified - sumthin sumthin Remix,Eazy Baked,dubstep,alternate_version,True,0,26228,104000.0,True,2,primary:Eazy Baked|remixer:sumthin sumthin,104000.0,33129.95604187488,0.7916702324279846,-0.27443234159234464,False,0.00010723232075869065,False,104000.0,28360.944545647915,0.9247928946014168,-0.14006086798483608,False,0.0037762746201965266,False,104000.0,32446.545217349692,0.8083449200617964,-0.2535884248045832,False,0.0013837235110311602,False,186000.0,34345.623252880054,0.7636489752096913,-0.30010625941463687,False,0.00015694587024542137,False,124500.0,34142.61148223739,0.7681896276049374,-0.30454065988828205,False,0.0002616269229672089,False,145000.0,34138.44797369928,0.7682833156389067,-0.30441870781031355,False,0.0002672029476254013,False,92347.17104492159,34112.31077652877,0.7688719820776952,-0.3247062002937575,False,0.003793860764219858,False
c41f626b-5ae4-4264-aa9e-a19277cb4068,Eyes Cut Deeper - Mport Remix,Subtronics,dubstep,alternate_version,True,1,16077,2900000.0,True,2,primary:Subtronics|remixer:Mport,2900000.0,127588.1180878819,0.12600703138301847,-2.112239563480804,True,0.05388844848580312,False,2900000.0,152886.1193384265,0.10515670140342948,-2.314179050737991,True,0.07773538137762742,True,2900000.0,123762.52514429337,0.12990200370634006,-2.081796924953732,True,0.04772241190902259,False,2967000.0,111227.65062359675,0.14454139694459475,-1.9646485358974388,True,0.046426216829042986,False,2916750.0,122247.70540965065,0.1315116708827062,-2.069481673863052,True,0.05095681123015072,False,2933500.0,122832.90305103062,0.13088512605877964,-2.0742572353178943,True,0.04903229825728429,False,440794.73681068403,99883.55270221028,0.16095743057850043,-1.888490759022,True,0.029797328297791404,False
442224b9-5178-45dc-bd78-7106fd6e3dc2,Satisfy,Pretty Girl,house,album_track,False,0,6592,204000.0,False,1,primary:Pretty Girl,204000.0,32635.819438109374,0.20198665495441537,-1.750376538079978,True,0.0430256413750015,False,204000.0,29103.290912335928,0.22650359438237508,-1.6475133944448785,True,0.04583434982259663,False,204000.0,33639.43386408986,0.19596049168464066,-1.7806651028423257,True,0.042526514805076174,False,204000.0,34738.30277768013,0.1897617175539001,-1.8012481793567936,True,0.04236654348768388,False,204000.0,34047.938160667596,0.19360937419744031,-1.7927355746051514,True,0.04268968506735742,False,204000.0,33630.020456459075,0.19601534315254698,-1.7803852311594852,True,0.04252897238433072,False,204000.00000000006,32263.18908467423,0.2043195414656437,-1.750589060395324,True,0.043620783850858505,False
9cd4d4f1-ff5c-42ca-9ddc-bedd621b0c3e,Body Step,Pretty Girl,house,focus_track,False,1,34039,204000.0,False,1,primary:Pretty Girl,204000.0,76653.83126648211,0.44406130049345616,-0.8843633547402785,False,0.006204699828099095,False,204000.0,55015.95223718134,0.6187114576014824,-0.678567196508304,False,0.0023368836500493356,False,204000.0,92448.80351742184,0.36819297497544573,-0.9599273765833054,True,0.005863287065024361,False,204000.0,102281.01912740983,0.33279879581174454,-1.0514270242263315,True,0.005669046655343187,False,204000.0,94820.73218589684,0.3589826740977517,-0.9852604400713556,True,0.005916207879761382,False,204000.0,93163.94868683192,0.3653666517981239,-0.9676331909701421,True,0.005777417604953424,False,204000.00000000006,77496.1589134692,0.43923467275335965,-0.802918819357652,True,0.002906544938495534,False
753c1cbc-c4ec-438a-8381-e286f7d77643,Merida,Rhye,downtempo,album_track,False,1,51509,2679000.0,False,1,primary:Rhye,2679000.0,110409.45575489163,0.4665270709634661,-0.9132621201805904,False,0.00914029714092472,False,2679000.0,124781.73212780432,0.412792795240599,-1.047328447854893,False,0.016322484699056273,False,2679000.0,114125.78569936943,0.4513353374467467,-0.946367563493931,False,0.010078201341196722,False,2679000.0,110283.62470799654,0.46705936748436544,-0.900560971492288,False,0.010255128501642435,False,2679000.0,112423.77297524479,0.45816822044695166,-0.9313417584860044,False,0.009828744136671404,False,2679000.0,113401.95391820007,0.45421615960122563,-0.9400049615160508,False,0.010102973701443089,False,2678999.999999999,120851.2264885291,0.4262182643623324,-1.0153226357628533,False,0.015216573775805712,False
03cdf258-6b2e-42c9-8250-4ad3041506f1,Bass Cannon (Flux's Version) - Crankdat Remix,Crankdat,dubstep,alternate_version,True,1,226684,1202000.0,True,2,primary:Crankdat|original:Flux Pavilion,1202000.0,109644.40237608169,2.067447084279515,0.6854925590072263,False,0.008807612599425706,False,1690000.0,129735.73107639648,1.7472750037267246,0.49618202988612836,False,0.00756382509995874,False,1690000.0,113788.53816064203,1.9921514386622734,0.648393185177353,False,0.008200663454170715,False,2892000.0,110936.75722288415,2.0433624136368698,0.6841374854902149,False,0.006852608251946679,False,1624500.0,112635.00034425095,2.0125538181486786,0.6585824773699986,False,0.008039534688703442,False,2047000.0,116373.11480345187,1.9479069575722663,0.6259334465061457,False,0.00750077791914637,False,1425264.8876612387,132898.82049250838,1.705688576918396,0.4720934829190746,False,0.00795441492842658,False
