spec,label,n_params,cooks_d_drops,streams_d0_only_drops,clean_n,r2_clean,adj_r2_clean,aic,forward_bias_all,forward_bias_clean,ratio_median_all,ratio_iqr_all
A,log(ML) + feat + ed_tier,4,17,4,41,0.4956503676520938,0.45475715421847973,83.27362199023369,0.14129100399617894,-0.06967783165580954,0.8762712000793843,1.0563395030749327
B,log(ML) + log(ML)^2 + feat + ed_tier,5,18,5,40,0.4538559918792642,0.39143953380832297,83.8483282112982,0.09055802097759143,-0.0299815647720209,0.917624232924809,1.0593589715887701
C,"piecewise-linear log(ML), knots 500k & 2M",6,18,5,40,0.45903822605861,0.37948502400840567,85.46696525511848,0.09905996435599165,-0.03983944775849344,0.9100494698957657,1.1103847499707027
D,tier intercepts (dev/mid/est) + shared log(ML) slope,6,18,4,40,0.5612603481389787,0.4967398111005933,80.79020852586125,-0.028224240310302642,-0.08071756413663042,1.0298907544263118,0.9969625270437936
E,"tier-specific log(ML) slopes, shared intercept",6,18,4,40,0.561772711223383,0.49732752169741,80.7434689630377,-0.04628540695464442,-0.08653957569025361,1.0485906335596575,1.0067774200600543
