release_id,track_name,artist,genre,release_key,wk1_actual,plan_total,plan_marquee,plan_showcase,plan_meta_traffic,plan_meta_awareness,act_total,act_marquee,act_showcase,act_meta_traffic,act_meta_awareness,has_campaigns,spl,spl_source,rec_28d_channel,rec_wk1_channel,model_cps_marquee,model_cps_showcase,model_cps_meta,plan_model_streams_28d,rec_model_streams_28d,delta_28d,plan_model_streams_wk1,rec_model_streams_wk1,delta_wk1,already_greedy_28d,awareness_share_plan,obs_streams_total,rec_scored_on_actuals,rec_beats_obs,n_spotify_campaigns,n_meta_campaigns
6d761fa4-d938-4a94-84d8-73953432b604,Last Forever (Club Mix),Bob Moses,house,last forever club mix,92691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.34014723629412,artist,showcase,marquee,0.0916695632538429,0.06506628018966629,0.40705164307069863,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
fc29b252-3e12-4161-81fb-cb0a61efdd2d,For The Girls,Hayden James,house,for the girls,88782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.383013725772993,artist,showcase,marquee,0.1447020333180719,0.10270827862260372,0.6425382463608819,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
9152aade-80de-4330-aca1-272ed1dca802,Psychedelic Symphony,Big Gigantic,dubstep,psychedelic symphony,78512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.2103570610030943,artist,showcase,marquee,0.22147053681912476,0.15719791270877337,0.9834228800058693,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
acad0151-eeb9-4105-a3d8-eb20a323653e,Freak No More,AC Slater,melodic-bass,freak no more,64150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.7848914178455113,genre,showcase,marquee,0.2742626021773324,0.19466927391594388,1.217841984694396,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
014cb496-a6b7-4808-b802-9b2e2ae58197,Its Called Freefall (Griz Remix),Griz,dubstep,its called freefall griz remix,419766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.4611623775298224,artist,showcase,marquee,0.1989015309723775,0.14117862336231612,0.8832069458800398,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
d8f0f831-841f-4743-8ddb-4a413ab68512,Telekinesis,Zingara,dubstep,telekinesis,65122,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,True,3.906288058222772,artist,showcase,marquee,0.1253181940414853,0.08894979355129005,0.5564657993404456,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,3924.0,3924.0000000000005,4.547473508864641e-13,1,0
cb8923f0-5d68-4ee9-82c0-21beb068c216,Ultra Love RYOS Remix,KSHMR,big-room,ultra love ryos remix,146763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6301955900666623,artist,showcase,marquee,0.18611884481560212,0.1321055809092809,0.8264464114312803,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
8988c2a1-11fb-4d6c-abbd-7822e3189a3c,Hold On,Rhye,downtempo,hold on,246709,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,True,4.648827840096683,artist,showcase,marquee,0.1053015903579078,0.07474217765903737,0.4675836106522208,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12118.0,20068.98978569738,7950.98978569738,2,0
cc49328f-6d0c-4445-85ff-ce848650d680,Ankaa,CloZee,melodic-bass,ankaa,149552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.7848914178455113,genre,showcase,marquee,0.2742626021773324,0.19466927391594388,1.217841984694396,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
a0825241-32a2-4574-8f6e-339fcbe9df0c,beautiful colors,big gigantic,dubstep,beautiful colors,127667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.2103570610030943,artist,showcase,marquee,0.22147053681912476,0.15719791270877337,0.9834228800058693,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
f9ced8aa-e3c2-4289-aa4e-de9d50b84c4c,Crossroads City,Gramatik,melodic-bass,crossroads city,43480,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,True,1.6732517192328942,artist,showcase,marquee,0.2925614593641199,0.207657647882221,1.299096652217705,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1009.0,2407.809223976135,1398.809223976135,2,0
a169f11f-18fc-4cef-bd90-1357ea679867,OBSESSED,BORGORE,house,obsessed,47365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.733885223683171,artist,showcase,marquee,0.17905980859093648,0.12709513673828346,0.7951013041595352,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
db228801-1892-4dc7-8bc2-d440f8b4498d,Fatal,RHYE,downtempo,fatal,200290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.648827840096683,artist,showcase,marquee,0.1053015903579078,0.07474217765903737,0.4675836106522208,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
e8c58708-8cbb-41bb-97c8-2af77b48a284,Fara,O'Flynn,house,fara,124086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
14af625a-751e-417f-9a75-01f70f8b11ba,Your loving,Duke Dumot,house,your loving,569707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
59d045b2-c9ed-45bb-ae34-9b3c2a0cd90f,Higher Ground,Bob Moses,downtempo,higher ground,64121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.34014723629412,artist,showcase,marquee,0.0916695632538429,0.06506628018966629,0.40705164307069863,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
002c00c4-803d-4ce6-a3fd-9f35e2e2ba80,Freaks,Joshwa,house,freaks,71982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
d81bd447-4dd9-47a6-ae1a-25e25a7833b8,Ashiko,O'Flynn,house,ashiko,47407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
d1007c54-44c1-4864-bb54-f06eb508a75e,Bass Down Low,KSHMR,big-room,bass down low,111467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6301955900666623,artist,showcase,marquee,0.18611884481560212,0.1321055809092809,0.8264464114312803,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
f4b1e800-ba7e-4175-9b8a-7a8c96346890,Bromance is Dead,Zomboy,dubstep,bromance is dead,84712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.438809226034244,artist,showcase,marquee,0.20072458297950713,0.14247261024832059,0.8913020680619854,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
5ec3f0bc-0cd3-4dcb-b9cd-5433b27b134d,Close Your Mouth,Rhye,downtempo,close your mouth,195298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.648827840096683,artist,showcase,marquee,0.1053015903579078,0.07474217765903737,0.4675836106522208,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
1825a25b-0767-45ee-8b92-031a2129802d,Eyes Cut Deeper,Subtronics,dubstep,eyes cut deeper,744126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.540394973070018,genre,showcase,marquee,0.1926979741542757,0.1367753912340971,0.8556605290972051,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,,0,1
6f456ebf-5c83-4397-b00b-2a24d4da77f2,Foreva,Caleb Jackson,house,foreva,10308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
55c97458-59cb-48ec-b2bf-2e55b5c5a9d3,Fresh Baked Bread,Eazy Baked,dubstep,fresh baked bread,83040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.540394973070018,genre,showcase,marquee,0.1926979741542757,0.1367753912340971,0.8556605290972051,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
500292f3-3a9b-481d-8c44-9ed9d642d791,Hustle,Zen Selekta,melodic-bass,hustle,12922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.7848914178455113,genre,showcase,marquee,0.2742626021773324,0.19466927391594388,1.217841984694396,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
5262a673-1e75-434a-a410-64153311fc64,Is it over Now?,Elderbrook,downtempo,is it over now,515951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.372769754571501,artist,showcase,marquee,0.11194940331594669,0.07946073903560333,0.49710271264579303,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
f943607f-0f5f-42fb-a138-fd5907ad7b80,Khoye Yahaan Reimagined,KSHMR,big-room,khoye yahaan reimagined,98312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6301955900666623,artist,showcase,marquee,0.18611884481560212,0.1321055809092809,0.8264464114312803,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
9760bc2d-7cd0-4352-934e-fb775efa681a,KOOLAID MAN,LSDREAM,melodic-bass,koolaid man,74971,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,0.0,0.0,True,3.4346595811658074,artist,showcase,marquee,0.14252619605933117,0.1011638877506596,0.6328766084105371,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1515.0,1515.0,0.0,1,0
fa462427-e169-4f27-8642-fa43949bbc2c,leave like this,bob moses,downtempo,leave like this,135101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.34014723629412,artist,showcase,marquee,0.0916695632538429,0.06506628018966629,0.40705164307069863,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
b78f3cf3-aded-4651-b6ee-398984d18c04,Lets Get Ill,Joshwa,house,lets get ill,99007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
5d01b98b-fcd5-4847-b4e3-dbc34504d61b,Marathon,Boogie T,dubstep,marathon,31482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6630892944643105,artist,showcase,marquee,0.18381995897766867,0.13047385119719718,0.8162383857317193,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
