release_id,track_name,artist,genre,release_type,is_feature,editorial_tier,ml,ml_bin,tier,wk1,locked,live_ols_pred,live_pred,live_ols_log_resid,live_ratio,locked_ratio,A_pred,A_ols_log_resid,A_ratio,A_cooks_dropped,A_cooks_d0_dropped,B_pred,B_ols_log_resid,B_ratio,B_cooks_dropped,B_cooks_d0_dropped,C_pred,C_ols_log_resid,C_ratio,C_cooks_dropped,C_cooks_d0_dropped,D_pred,D_ols_log_resid,D_ratio,D_cooks_dropped,D_cooks_d0_dropped,E_pred,E_ols_log_resid,E_ratio,E_cooks_dropped,E_cooks_d0_dropped
500292f3-3a9b-481d-8c44-9ed9d642d791,Hustle,Zen Selekta,melodic-bass,single,False,0,17000.0,<100k,developing,12922,15716,20215.45136021265,20215.45136021265,-0.4475159456922899,0.6392140234589385,0.8222193942479002,24744.48874703641,-0.6496715021951278,0.5222172958229997,True,False,30115.321653084167,-0.846102782128975,0.4290839111352023,True,True,34400.72398171801,-0.9791463250020893,0.3756316293478967,True,True,8450.35908163015,0.42472234980230006,1.5291657875332834,True,False,7561.874237187935,0.5358122106984222,1.7088356133261158,True,False
6f456ebf-5c83-4397-b00b-2a24d4da77f2,Foreva,Caleb Jackson,house,single,False,1,48000.0,<100k,developing,10308,34462,51431.96294426432,51431.96294426432,-1.6073395335688456,0.20042011640058444,0.29911206546340896,64255.56087716493,-1.829947977857275,0.16042191304975825,True,True,70306.4291911712,-1.9199429554888425,0.14661532549137676,True,False,76540.47014502279,-2.0048993296633935,0.13467385267518245,True,False,33430.977591626724,-1.1765626501585853,0.30833678051286745,True,False,31124.069590326733,-1.1050611688676923,0.33119062306696856,True,False
ebe7f034-258c-45e2-b4e1-da3c30962ad5,Everybody High - Chesster Remix,Caleb Jackson,house,alternate_version,True,0,52000.0,<100k,developing,3039,22179,27046.56326170364,22178.181874596983,-2.1860314319627907,0.13702656138287367,0.13702150683078587,29404.665906622682,-2.3104468466449326,0.10335094469873027,True,True,34017.75985508647,-2.445813430468645,0.08933568856226717,True,True,37817.50053531112,-2.551702666159386,0.08035962073068292,True,True,14108.85532364734,-1.5657333309394943,0.21539663780565121,True,True,13239.655599418269,-1.5021472315920636,0.22953769281834863,True,True
55c97458-59cb-48ec-b2bf-2e55b5c5a9d3,Fresh Baked Bread,Eazy Baked,dubstep,single,True,0,101000.0,100k-500k,developing,83040,33689,32640.40432881018,32640.40432881018,0.9337715018735757,2.5440861321287134,2.4648995220992016,34336.973185730545,0.8830997103568929,2.418384391391523,False,False,37673.37916632584,0.7903686972949462,2.204208962338714,False,False,40401.677867067025,0.7204511039498325,2.0553601826445216,False,False,21390.2936546699,1.3563851678214327,3.8821346420305374,True,True,20620.02955755538,1.3930595073886973,4.0271523262474345,True,True
2e74db2b-efb6-4170-b002-35a50e2ebff3,Certified - sumthin sumthin Remix,Eazy Baked,dubstep,alternate_version,True,0,104000.0,100k-500k,developing,26228,26988,32912.06983734862,26987.89726662587,-0.2270119124487806,0.971843035449613,0.9718393360011857,33129.95604187488,-0.27443234159234464,0.7916702324279846,False,False,36665.99800484553,-0.3654815058098748,0.715322135689144,False,False,39251.257599427285,-0.43361514954819924,0.6682078894812964,False,False,21104.420149867612,0.18688583059800834,1.2427728321246736,False,False,20368.604218039734,0.2223736284768183,1.287668007058177,False,False
d8145143-cffd-4249-8095-4973f906c4f8,Shifting The Lens,Steller,melodic-bass,single,False,0,126000.0,100k-500k,developing,30241,37033,35646.790283920076,35646.790283920076,-0.16446048914771083,0.8483512753640943,0.8165960089649772,34928.85368336337,-0.1441146211936104,0.8657885046597966,False,False,36729.30166733505,-0.19437622750681527,0.823348079794684,False,False,38306.21186624675,-0.2364134532068647,0.7894542040751006,False,False,27055.223539316903,0.111318526083938,1.1177508829691796,False,False,26258.485242394883,0.1412094354138418,1.1516658223367455,False,False
442224b9-5178-45dc-bd78-7106fd6e3dc2,Satisfy,Pretty Girl,house,album_track,False,0,204000.0,100k-500k,developing,6592,35546,40857.97015398608,35546.43403396789,-1.8242451174765044,0.1854475752392135,0.18544983964440442,32635.819438109374,-1.750376538079978,0.20198665495441537,True,False,33911.495333393075,-1.7771593270132229,0.1943883610909005,True,False,34199.71864915313,-1.7856226921281078,0.1927501236962145,True,False,31141.43011650348,-1.6919443654631188,0.2116794243340338,True,False,30820.516456535875,-1.6815858616659618,0.21388350222152375,True,False
9cd4d4f1-ff5c-42ca-9ddc-bedd621b0c3e,Body Step,Pretty Girl,house,focus_track,False,1,204000.0,100k-500k,developing,34039,82126,77477.37883843275,82126.02156873872,-0.8224790817262342,0.41447277427787815,0.414472883130799,76653.83126648211,-0.8843633547402785,0.44406130049345616,False,False,77933.84453891286,-0.8902287975201855,0.4367678792363966,False,False,77759.58840562127,-0.887990344648312,0.4377466586170781,False,False,72834.28545312064,-0.8225552760127055,0.46734858162244214,False,False,71904.5451270826,-0.8097079549398085,0.4733914934005935,False,False
e8c58708-8cbb-41bb-97c8-2af77b48a284,Fara,O'Flynn,house,focus_track,False,1,254000.0,100k-500k,developing,124086,72411,82439.21523046042,87385.56814428806,0.40891363690281324,1.419982757279937,1.7136346687657953,79600.82309574007,0.3713797475681382,1.5588532275697111,False,False,80190.32265615939,0.37469662742383036,1.547393699013493,False,False,78680.10714950268,0.39370911452144597,1.5770949544364508,False,False,82726.34143288198,0.34356140063606944,1.4999575449698108,False,False,82399.3129243565,0.34752237129648833,1.5059106149818549,False,False
5d01b98b-fcd5-4847-b4e3-dbc34504d61b,Marathon,Boogie T,dubstep,single,False,0,298000.0,100k-500k,developing,31482,53526,45486.53702811827,45486.53702811827,-0.36800043874843524,0.692116878023466,0.5881627620221949,40506.04937180291,-0.2520353762307028,0.7772172425661256,False,False,40974.52888144922,-0.26353467292400623,0.7683309816956343,False,False,40117.980486653985,-0.24240867107098296,0.784735413350956,False,False,44610.2488927853,-0.3485476744967375,0.7057122697446215,False,False,44834.040311865756,-0.35355172535472157,0.7021896706388959,False,False
d819dfc2-2d0e-490c-a4f7-576b3ea542b0,Steppin,Boogie T,melodic-bass,single,False,0,300000.0,100k-500k,developing,55828,53679,45572.776119676455,45572.776119676455,0.20296501232980368,1.2250296065658322,1.0400342778367704,40552.70337756441,0.3196730895497275,1.376677640457543,False,False,41011.69028497008,0.30841838068190164,1.3612703990515551,False,False,40132.38933674227,0.33009181322616676,1.391095843598028,False,False,44783.93841493473,0.2204259780320097,1.2466076449717127,False,False,45020.80705288912,0.2151507737871956,1.2400488497333002,False,False
