group,decay_rank,decay,artist,track,release_date,genre,release_type,editorial_tier,editorial_label,is_feature,monthly_listeners_at_release,ml_source,wk1_streams,wk3_streams,wk1_saves,save_rate,save_rate_pct,save_rate_d2d7,save_rate_d2d7_pct,d1_save_dump,locked_forecast_streams,pct_of_forecast,wk1_stream_days,wk3_stream_days,ads_matched,ads_match_method,ads_ran_actual,ads_planned,actual_spend_total,actual_spend_marquee,actual_spend_showcase,actual_spend_meta_traffic,actual_spend_meta_awareness,actual_channel_marquee,actual_channel_showcase,actual_channel_meta_traffic,actual_channel_meta_awareness,planned_spend_total,planned_spend_marquee,planned_spend_showcase,planned_spend_meta_traffic,planned_spend_meta_awareness,spotify_format,spotify_ad_rows,meta_ad_rows,release_key,id
sustainer,13,0.639031827711073,Boogie T,Marathon,2026-03-20,dubstep,single,0,None,False,298000.0,at_release,31482.0,20118.0,3641.0,0.11565338923829489,11.5653,0.09412693854106835,9.4127,False,53526.0,58.816276202219484,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,marathon,5d01b98b-fcd5-4847-b4e3-dbc34504d61b
sustainer,14,0.631334217993117,Bob Moses,Last Forever (Club Mix),2026-06-10,house,lead_single,1,Small,False,2000000.0,at_release,92691.0,58519.0,5276.0,0.05692030509974,5.692,0.052567390437111755,5.2567,False,170000.0,54.52411764705882,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,last forever club mix,6d761fa4-d938-4a94-84d8-73953432b604
sustainer,15,0.6307611430935227,Joshwa,Work Your Body,2026-05-14,house,single,1,Small,False,2000000.0,at_release,116036.0,73191.0,7080.0,0.06101554689923817,6.1016,0.045324464382396165,4.5324,False,170000.0,68.2564705882353,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,work your body,eb7df52a-16fc-4668-8afb-ee132a9ed07e
sustainer,16,0.5912674446412575,Rhye,Hold On,2025-12-04,downtempo,lead_single,2,Medium,False,2690000.0,at_release,246709.0,145871.0,16555.0,0.0671033484793826,6.7103,0.0631053725790568,6.3105,False,271409.0,90.89934379478942,7,7,True,exact_key,True,False,1500.0,1500.0,0.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,2,0,hold on,8988c2a1-11fb-4d6c-abbd-7822e3189a3c
sustainer,17,0.5910813218773362,Rhye,Close Your Mouth,2026-03-12,downtempo,lead_single,1,Small,False,2730000.0,at_release,195298.0,115437.0,11468.0,0.0587205194113611,5.8721,0.051127614480285924,5.1128,False,194210.0,100.56021832037484,7,7,True,awareness_name,True,False,999.45,0.0,0.0,0.0,999.45,False,False,False,True,0.0,0.0,0.0,0.0,0.0,marquee,0,1,close your mouth,5ec3f0bc-0cd3-4dcb-b9cd-5433b27b134d
sustainer,18,0.5858853731249113,Kasbo,World is Mine,2026-04-23,house,single,2,Medium,True,995000.0,at_release,507176.0,297147.0,43105.0,0.08499022035743016,8.499,0.05078065486244974,5.0781,False,329131.0,154.09548173827443,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,world is mine,88620604-3fed-44e0-915c-ffb2ce584aac
sustainer,19,0.5840087618190418,Subtronics,Fall Back To Nothing,2026-07-03,dubstep,single,2,Medium,True,2920000.0,at_release,435526.0,254351.0,51065.0,0.117249027612588,11.7249,0.09142499257556022,9.1425,False,304287.0,143.13000555396712,7,7,True,exact_key,True,True,6459.58,0.0,1500.0,4959.58,0.0,False,True,True,False,6500.0,0.0,1500.0,5000.0,0.0,showcase,1,2,fall back to nothing,e3573939-bfd3-4f1e-8358-614c6d55f590
sustainer,20,0.5831588214109455,LSDREAM,KOOLAID MAN,2026-05-01,melodic-bass,single,1,Small,False,400000.0,at_release,74971.0,43720.0,10942.0,0.14594976724333408,14.595,0.12334238416396602,12.3342,False,85381.0,87.80759185298837,7,7,True,exact_key,True,False,250.0,0.0,250.0,0.0,0.0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,marquee,1,0,koolaid man,9760bc2d-7cd0-4352-934e-fb775efa681a
middle,21,0.5595037196065705,RHYE,Fatal,2026-06-12,downtempo,focus_track,1,Small,False,2700000.0,at_release,200290.0,112063.0,12097.0,0.060397423735583405,6.0397,0.05454014354865632,5.454,False,199093.0,100.60122656246075,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,fatal,db228801-1892-4dc7-8bc2-d440f8b4498d
middle,22,0.5511031489597663,Crankdat,Movement,2026-07-01,dubstep,single,2,Medium,False,1070000.0,at_release,468885.0,258404.0,47288.0,0.10085202128453671,10.0852,0.07947093475602979,7.9471,False,182939.0,256.30674705776244,7,7,True,exact_key,False,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2000.0,1500.0,0.0,500.0,0.0,marquee,0,1,movement,7452a9ac-7a07-43ca-a2f5-6a180bc6238e
middle,23,0.5430497280057904,Hayden James,One I Want,2026-04-03,house,single,1,Small,True,2674000.0,at_release,88421.0,48017.0,3417.0,0.03864466585992016,3.8645,0.031108376601938832,3.1108,False,357264.0,24.749484974696585,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,one i want,b47d846d-5690-4718-b51e-c8203bb55828
middle,24,0.5412536220832698,Eazy Baked,Certified - sumthin sumthin Remix,2026-02-26,dubstep,alternate_version,0,None,True,104000.0,at_release,26228.0,14196.0,3242.0,0.12360835748055513,12.3608,0.10792125121200624,10.7921,False,26988.0,97.18393360011856,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,certified sumthin sumthin remix,2e74db2b-efb6-4170-b002-35a50e2ebff3
