Ad account,Currency,Reporting starts,Reporting ends,Campaign name,Campaign delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent,Ends,Impressions,CPM,Link clicks,shop_clicks,CPC (link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Landing page views,Cost per landing page view,Results (initial),Results (initial) indicator
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Trikk - Harmonia,not_delivering,7-day click or 1-day view,7024,actions:link_click,133067,1.792646,0.02126424,Using ad set budget,0,149.36,2025-05-11,238542,0.626137,7024,,0.021264,2.944555,8203,3.438807,0.018208,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Trikk - Harmonia (Broader Audience),not_delivering,7-day click or 1-day view,10071,actions:link_click,119022,1.312833,0.01488333,Using ad set budget,0,149.89,2025-05-21,156256,0.959259,10071,,0.014883,6.445193,10409,6.661504,0.0144,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,JJ x BC - Trippy Yeah,not_delivering,7-day click or 1-day view,10125,actions:link_click,235900,1.817677,0.02468938,Using ad set budget,0,249.98,2025-07-16,428790,0.582989,10125,,0.024689,2.361296,11426,2.664708,0.021878,9,27.775556,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - Don't Waste My Time Out Now (Boost),inactive,7-day click or 1-day view,11228,actions:post_engagement,24705,1.343048,0.00340844,50,Lifetime,38.27,2025-07-15,33180,1.153406,,,,,136,0.409885,0.281397,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - Don't Waste My Time Out Now (Awareness),inactive,7-day click or 1-day view,16278,video_thruplay_watched_actions,51205,1.280012,0.00763116,200,Lifetime,124.22,2025-08-01,65543,1.895244,82,,1.514878,0.125109,406,0.619441,0.305961,1,124.22,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - Don't Waste My Time Out Now (Traffic),not_delivering,7-day click or 1-day view,3508,actions:link_click,21394,1.631298,0.02708096,Using ad set budget,0,95,2025-08-05,34900,2.722063,3508,,0.027081,10.051576,3957,11.338109,0.024008,2,47.5,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Let's GO (Awareness),not_delivering,7-day click or 1-day view,67336,video_thruplay_watched_actions,388972,1.492454,0.00593917,Using ad set budget,0,399.92,2025-10-21,580523,0.688896,466,,0.858197,0.080272,3979,0.685416,0.100508,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - Pha Na Pha (Traffic),not_delivering,7-day click or 1-day view,3651,actions:omni_landing_page_view,80085,1.336767,0.05476034,Using ad set budget,0,199.93,2025-12-12,107055,1.867545,4730,,0.042269,4.41829,7779,7.266358,0.025701,3651,0.05476,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Tri/xon - WORK/OUT (Awareness),not_delivering,7-day click or 1-day view,28676,video_thruplay_watched_actions,148486,1.254347,0.00697064,Using ad set budget,0,199.89,2026-03-16,186253,1.073218,237,,0.843418,0.127246,2117,1.136626,0.094421,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Jepe - Monza EP (Traffic),inactive,7-day click or 1-day view,4517,actions:link_click,57000,1.551596,0.03203896,Using ad set budget,0,144.72,2026-04-11,88441,1.636345,4517,,0.032039,5.10736,6381,7.214979,0.02268,2522,0.057383,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - LiTD (Traffic),inactive,7-day click or 1-day view,9325,actions:link_click,104046,1.762413,0.03658338,Using ad set budget,0,341.14,2026-04-21,183372,1.860371,9325,,0.036583,5.085291,12892,7.030517,0.026461,4562,0.074779,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Selim Sivade - Savage EP (LPV),not_delivering,7-day click or 1-day view,1378,actions:omni_landing_page_view,33984,1.508975,0.07240203,Using ad set budget,0,99.77,2026-05-01,51281,1.945555,2370,,0.042097,4.621595,2988,5.826719,0.03339,1378,0.072402,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Julian Koerndl - Horses EP (LPV),not_delivering,7-day click or 1-day view,1523,actions:omni_landing_page_view,27801,1.63379,0.06543664,Using ad set budget,0,99.66,2026-06-02,45421,2.194139,2427,,0.041063,5.343343,3279,7.219128,0.030393,1523,0.065437,,
